State,literacy_rate
Andaman and Nicobar Islands,86.30
Andhra Pradesh,67.70
Arunachal Pradesh,67.00
Assam,73.20
Bihar,63.80
Chandigarh,86.40
Chhattisgarh,71.00
Dadra and Nagar Haveli,77.70
Daman and Diu,87.10
Delhi,86.30
Goa,87.40
Gujarat,79.30
Haryana,76.60
Himachal Pradesh,83.80
Jammu and Kashmir,68.70
Jharkhand,67.60
Karnataka,75.60
Kerala,93.90
Lakshadweep,92.30
Madhya Pradesh,70.60
Maharashtra,82.90
Manipur,79.80
Meghalaya,75.50
Mizoram,91.60
Nagaland,80.10
Orissa,73.50
Puducherry,86.50
Punjab,76.70
Rajasthan,67.10
Sikkim,82.20
Tamil Nadu,80.30
Tripura,87.80
Uttar Pradesh,69.70
Uttaranchal,79.60
West Bengal,77.10
